Player,2024-2025_std_Pos,2024-2025_std_Age,2024-2025_std_Min,2024-2025_std_90s,2024-2025_poss_Att Pen,2024-2025_play_Min,2024-2025_play_90s,2025-2026_std_Pos,2025-2026_std_Age,2025-2026_std_Min,2025-2026_std_90s,2025-2026_poss_Att Pen,2025-2026_play_Min,2025-2026_play_90s,MarketValue,Season,Weekly_Gross_EUR,Yearly_Gross_EUR,Position,Age,Latest_Pos,Latest_Pos4,Age_latest,Minutes_2425,Minutes_2526,xG_plus_xAG_2425,xG_plus_xAG_2526,PrgPasses_25,PrgPasses_per90_25,FinalThirdTouches_25,FinalThirdTouches_per90_25,PrgPasses_26,PrgPasses_per90_26,FinalThirdTouches_26,FinalThirdTouches_per90_26
Alberto Cerri,FW,28.0,87.0,1.0,1.0,87.0,1.0,FW,29-170,,,,,,,2025-2026,19615.0,1020000.0,F,29.0,FW,FW,29-170,87.0,,,,,,,,,,,
Alberto Dossena,DF,25.0,1825.0,20.3,173.0,1825.0,20.3,,,,,,,,,2025-2026,35577.0,1850000.0,D,26.0,,,,1825.0,,,,,,,,,,,
Alberto Moreno,DF,32.0,1727.0,19.2,58.0,1727.0,19.2,"DF,MF",33-090,,,,,,,2025-2026,25000.0,1300000.0,D,33.0,"DF,MF",DF,33-090,1727.0,,,,,,,,,,,
Alessandro Gabrielloni,"FW,MF",30.0,142.0,1.6,3.0,142.0,1.6,FW,31-085,,,,,,,2024-2025,15000.0,780000.0,F,30.0,FW,FW,31-085,142.0,,,,,,,,,,,
Alessio Chiesa,DF,18.0,,,,,,,,,,,,,,2024-2025,,,,,,,,,,,,,,,,,,,
Alessio Iovine,"DF,FW",33.0,387.0,4.3,13.0,387.0,4.3,,,,,,,,,2024-2025,2885.0,150000.0,M,34.0,,,,387.0,,,,,,,,,,,
Ali Jasim,"FW,DF",20.0,10.0,0.1,0.0,10.0,0.1,,,,,,,,,2024-2025,3654.0,190000.0,F,20.0,,,,10.0,,,,,,,,,,,
Alieu Fadera,"FW,DF",22.0,1644.0,18.3,16.0,1644.0,18.3,,,,,,,,,2024-2025,15962.0,830000.0,F,23.0,,,,1644.0,,,,,,,,,,,
Anastasios Douvikas,FW,24.0,580.0,6.4,2.0,580.0,6.4,FW,26-062,246.0,2.7,3.0,246.0,2.7,,2025-2026,28462.0,1480000.0,F,26.0,FW,FW,26-062,580.0,246.0,,,,,,,,,,
Andrea Belotti,FW,30.0,593.0,6.6,7.0,593.0,6.6,,,,,,,,,2024-2025,53462.0,2780000.0,F,30.0,,,,593.0,,,,,,,,,,,
Assane Diao,"FW,MF",18.0,1252.0,13.9,16.0,1252.0,13.9,,,,,,,,,2025-2026,17885.0,930000.0,F,19.0,,,,1252.0,,,,,,,,,,,
Álex Valle,DF,20.0,1030.0,11.4,26.0,1030.0,11.4,DF,21-161,441.0,4.9,19.0,441.0,4.9,,2025-2026,,,,,DF,DF,21-161,1030.0,441.0,,,,,,,,,,
Álvaro Morata,,,,,,,,FW,32-345,180.0,2.0,2.0,180.0,2.0,,2025-2026,,,,,FW,FW,32-345,,180.0,,,,,,,,,,
Ben Lhassine Kone,MF,24.0,51.0,0.6,2.0,51.0,0.6,,,,,,,,,2024-2025,5385.0,280000.0,M,24.0,,,,51.0,,,,,,,,,,,
